,Company Name,Listed,HQ Country,GICS Sector,Accounting Year End,Reported Scope 1 tCO2e,Estimated Scope 1 tCO2e,Scope 1 source,Scope 1 quality flag,Reported market-based Scope 2 tCO2e,Note,Reported location-based Scope 2 tCO2e,Estimated location-based Scope 2 tCO2e,Location-based Scope 2 source,Location-based Scope 2 quality flag,Scope 2 company comments,GHG revenue intensity tCO2e/mmUSD,Scope 2 figure used for intensity,amplification.wordsindex,DeAmplification.wordsindex,HE_negativeindex,HE_positiveindex,angerindex,anticipationindex,disgustindex,fearindex,joyindex,sadnessindex,surpriseindex,trustindex,LMnegativeindex,LMpositiveindex,LMuncertaintyindex,BasicNegativeWordsindex,PositivePolarisedindex,NegativePolarisedindex,PowerWordsindex,PrudentialNegativeindex,PrudentialPositiveindex,PrudentialTopNegativeindex,Strategyindex,Financial.termsindex,Regulationindex,Technologyindex,Healthcareindex,Environmentindex,Socialindex,Governanceindex,ESGindex,LMuncertaintyindex.1,Regulationindex.1,Environmentindex.1,Socialindex.1,Governanceindex.1,ESGindex.1,ISIN lower,2016vol,2017vol,2018vol,2019vol,VolFactor,Carbon Emission  tCO2e/mmUSD,Scope 1 tCO2e,Scope 2 tCO2e,Scope 1 and 2 tCO2e,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Telecommunication Services,Utilities
980,Soho China Ltd.,Yes,Hong Kong,Real Estate,31/12/2016,0.0,1900.0,Estimated: Gamma GLM,5.0,, NA ,0.0,41000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,180.62,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,kyg826001003,0.020475179,0.016549822,0.018553798,0.017218986000000002,0.326566416,180.6239737,1900.0,41000.0,42900.0,0,0,0,0,0,0,0,0,1,0,0
981,Hong Kong Aircraft Engineering,Yes,Hong Kong,Industrials,31/12/2016,27152.0,0.0,Reported: CDP (Not Reviewed),,, NA ,78042.0,0.0,Reported: CDP (Not Reviewed),,,59.34,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,hk0044000302,0.015392207,0.007613186,,,0.0,59.34279186,27152.0,78042.0,105194.0,0,0,0,0,0,1,0,0,0,0,0
982,Hongkong & Shanghai Hotels Ltd,Yes,Hong Kong,Consumer Discretionary,31/12/2016,22568.0,0.0,Reported: CDP (Not Reviewed),,"80,490.00",  ,89483.0,0.0,Reported: CDP (Not Reviewed),,,142.07,Market-based,61,23,90,118,82,100,116,90,140,56,98,89,57,116,67,90,107,90,74,40,77,0,107,88,54,23,0,0,0,0,0,0.27,0.16,0.25,0.28,0.31,0.3,hk0045000319,0.016067168,0.019196125,0.015867588000000002,0.008699427,0.648370927,142.0666648,22568.0,89483.0,112051.0,1,0,0,0,0,0,0,0,0,0,0
983,GOME Electrical Appliances Holdings,Yes,Hong Kong,Consumer Discretionary,31/12/2016,0.0,69000.0,Estimated: Gamma GLM,3.0,, NA ,0.0,140000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,3.0,,18.1,Location-based,61,89,94,85,115,87,85,120,67,169,84,80,110,68,67,144,71,144,59,139,121,0,115,91,26,331,0,0,0,29,12,0.27,0.03,0.25,0.23,0.3,0.04,bmg3978c1249,0.021911657,0.017389004,0.05085014400000001,0.024212392000000003,0.128070175,18.09627217,69000.0,140000.0,209000.0,1,0,0,0,0,0,0,0,0,0,0
984,ASM Pacific Technology,Yes,Hong Kong,Information Technology,31/12/2016,1448.46,0.0,Reported: CDP (Reviewed),7.0,, NA ,167760.1,0.0,Reported: CDP (Reviewed),7.0,,92.18,Location-based,171,98,60,126,78,123,58,77,89,56,104,110,88,109,96,72,124,72,126,50,101,30,13,56,34,136,0,0,22,0,7,0.14,0.24,0.24,0.28,0.31,0.28,kyg0535q1331,0.019539803999999997,0.023361099,0.02050051,0.026831075,0.08521303300000001,92.17859516,1448.46,167760.1,169208.56,0,0,0,0,0,0,1,0,0,0,0
985,Yue Yuen Industrial,Yes,Hong Kong,Consumer Discretionary,31/12/2016,0.0,28000.0,Estimated: Gamma GLM,3.0,, NA ,0.0,110000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,4.0,,16.27,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,bmg988031446,0.01776284,0.016566108,0.025877794,0.01302257,0.502506266,16.27251031,28000.0,110000.0,138000.0,1,0,0,0,0,0,0,0,0,0,0
986,Power Assets Holdings Limited,Yes,Hong Kong,Utilities,31/12/2016,0.0,710000.0,Estimated: Gamma GLM,4.0,, NA ,0.0,17000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,4.0,,4381.37,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,hk0006000050,0.01158376,0.009623724,0.009490728,0.007154281,0.669172932,4381.3656359999995,710000.0,17000.0,727000.0,0,0,0,0,0,0,0,0,0,0,1
987,CRRC Corporation Limited,Yes,Hong Kong,Industrials,31/12/2016,0.0,1200000.0,Estimated: Gamma GLM,5.0,, NA ,0.0,1300000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,74.07,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,cne100000bg0,0.020119754,0.012465103,0.016350187,0.013496561,0.486716792,74.06867529,1200000.0,1300000.0,2500000.0,0,0,0,0,0,1,0,0,0,0,0
988,Fosun International,Yes,Hong Kong,Industrials,31/12/2016,0.0,15000000.0,"Estimated: Iron & Steel Mills, Gamma GLM",6.0,, NA ,0.0,2100000.0,"Estimated: Iron & Steel Mills, Gamma GLM",6.0,,1535.22,Location-based,57,0,31,146,70,142,40,90,187,52,167,120,72,164,64,70,144,70,74,139,302,174,407,95,120,289,"1,661",55,197,94,115,0.28,0.25,0.03,0.11,0.09,0.04,hk0656038673,0.019102521,0.020739175,0.020611799,0.025327921,0.107769424,1535.219828,15000000.0,2100000.0,17100000.0,0,0,0,0,0,1,0,0,0,0,0
989,MTR Corporation,Yes,Hong Kong,Industrials,31/12/2016,48141.0,0.0,Reported: CDP (Reviewed),7.0,"1,263,952.00",  ,0.0,1400000.0,Estimated: IEA National Grid Emissions Factor applied to Reported SHEC.,5.0,"In Hong Kong, our energy suppliers are restricted to two vertically integrated companies that are regulated by the Government under a Scheme of Control Agreement (SCA) that is valid until 2033. These two companies provide electricity with different geographical coverage. Hence, the emissions are calculated based on the emission factors provided by these two power companies in their annual sustainability reports.",225.39,Market-based,26,16,158,103,132,125,66,118,107,89,75,84,59,60,63,134,66,134,50,69,132,59,76,111,87,66,0,0,90,32,39,0.28,0.04,0.11,0.23,0.24,0.21,hk0066009694,,,,,0.0,225.38628160000002,48141.0,1400000.0,1448141.0,0,0,0,0,0,1,0,0,0,0,0
990,Techtronic Industries,Yes,Hong Kong,Consumer Discretionary,31/12/2016,0.0,63000.0,Estimated: Gamma GLM,5.0,, NA ,0.0,140000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,37.04,Location-based,80,24,64,113,114,79,146,99,96,83,136,86,59,123,43,154,114,154,89,46,63,0,19,64,93,122,871,0,33,0,10,0.31,0.02,0.21,0.28,0.31,0.29,hk0669013440,0.016708516,0.017305443,0.023650166,0.022804547,0.149373434,37.0410243,63000.0,140000.0,203000.0,1,0,0,0,0,0,0,0,0,0,0
991,Sun Art Retail Group Ltd,Yes,Hong Kong,Consumer Staples,31/12/2016,0.0,330000.0,Estimated: Gamma GLM,5.0,, NA ,0.0,790000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,74.05,Location-based,83,42,107,83,76,117,70,82,146,131,187,98,119,85,66,85,81,85,76,83,89,341,32,72,80,215,104,24,57,82,58,0.27,0.18,0.16,0.13,0.2,0.16,hk0000083920,0.024556974,0.023597133,0.02390693,0.022442875,0.159398496,74.04865658,330000.0,790000.0,1120000.0,0,1,0,0,0,0,0,0,0,0,0
992,HKT Trust and HKT Ltd,Yes,Hong Kong,Telecommunication Services,31/12/2016,0.0,38000.0,Estimated: Gamma GLM,5.0,, NA ,0.0,440000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,109.62,Location-based,114,81,107,66,90,108,79,87,65,110,70,77,91,66,49,122,105,122,85,45,206,0,50,65,82,349,0,38,0,112,59,0.31,0.06,0.25,0.08,0.19,0.3,hk0000093390,0.011831243,0.01091441,0.010094669,0.009935075,0.611278195,109.6234732,38000.0,440000.0,478000.0,0,0,0,0,0,0,0,0,0,1,0
993,Kerry Properties,Yes,Hong Kong,Real Estate,31/12/2016,5370.0,0.0,Reported: Company Filings (Reviewed),7.0,, NA ,0.0,340000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,206.37,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,bmg524401079,0.014971011000000001,0.012934599,0.019191765,0.017106708999999998,0.333082707,206.3733925,5370.0,340000.0,345370.0,0,0,0,0,0,0,0,0,1,0,0
994,China Galaxy Securities,Yes,Hong Kong,Financials,31/12/2016,0.0,2700.0,Estimated: Gamma GLM,5.0,, NA ,0.0,36000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,14.15,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,cne100001nt6,,0.013392299,0.022802358999999998,0.032324951,0.043859649,14.15451463,2700.0,36000.0,38700.0,0,0,0,1,0,0,0,0,0,0,0
995,Shangri-La Asia,Yes,Hong Kong,Consumer Discretionary,31/12/2016,154812.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,782482.0,0.0,Reported: CDP (Reviewed),7.0,,456.01,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,bmg8063f1068,,,,,0.0,456.0109369,154812.0,782482.0,937294.0,1,0,0,0,0,0,0,0,0,0,0
996,Skyworth Digital Holdings Ltd,Yes,Hong Kong,Consumer Discretionary,30/03/2017,0.0,40000.0,Estimated: Gamma GLM,5.0,, NA ,0.0,140000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,32.6,Location-based,75,0,42,102,57,85,129,80,97,111,57,76,69,110,25,86,84,86,66,67,82,0,41,93,39,167,0,0,0,26,11,0.32,0.18,0.25,0.24,0.31,0.22,bmg8181c1001,0.024149506,0.021977935,0.024119186,0.038900215,0.023308271000000002,32.59694422,40000.0,140000.0,180000.0,1,0,0,0,0,0,0,0,0,0,0
997,China Unicom,Yes,Hong Kong,Telecommunication Services,31/12/2016,0.0,340000.0,Estimated: Gamma GLM,4.0,, NA ,0.0,3600000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,4.0,,95.42,Location-based,59,0,102,128,90,95,81,97,75,46,84,98,65,211,19,94,114,94,91,87,157,0,139,103,142,393,0,0,0,118,48,0.32,0.15,0.25,0.08,0.22,0.14,hk0000049939,0.019394279,0.014820682,0.016197875,0.018725207,0.26716792,95.42091035,340000.0,3600000.0,3940000.0,0,0,0,0,0,0,0,0,0,1,0
998,PCCW,Yes,Hong Kong,Telecommunication Services,31/12/2016,0.0,37000.0,Estimated: Gamma GLM,5.0,, NA ,0.0,420000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,92.42,Location-based,79,43,92,93,66,95,33,77,77,75,54,90,51,90,50,82,105,82,68,119,182,79,304,67,52,406,0,152,150,86,131,0.31,0.2,0.05,0.12,0.08,0.07,hk0008011667,0.013182273000000001,0.010205322,0.011749153,0.011179388,0.572681704,92.41919893,37000.0,420000.0,457000.0,0,0,0,0,0,0,0,0,0,1,0
999,Shimao Property Holdings,Yes,Hong Kong,Real Estate,31/12/2016,0.0,85000.0,Estimated: Gamma GLM,5.0,, NA ,0.0,1600000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,188.74,Location-based,42,58,110,83,112,99,98,124,136,89,127,97,77,125,84,112,96,112,82,122,144,71,272,115,81,10,0,0,80,77,55,0.2,0.08,0.12,0.13,0.2,0.06,kyg810431042,,,,,0.0,188.7367296,85000.0,1600000.0,1685000.0,0,0,0,0,0,0,0,0,1,0,0
1000,China Jinmao Holdings Group Limited,Yes,Hong Kong,Real Estate,31/12/2016,0.0,50000.0,Estimated: Gamma GLM,5.0,, NA ,0.0,760000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,197.0,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,hk0817039453,,,,,0.0,197.0007248,50000.0,760000.0,810000.0,0,0,0,0,0,0,0,0,1,0,0
1001,Link Real Estate Investment Trust,Yes,Hong Kong,Real Estate,30/03/2017,0.0,13000.0,Estimated: Gamma GLM,5.0,, NA ,0.0,170000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,153.42,Location-based,50,70,74,128,53,111,79,92,108,72,89,105,73,127,72,71,106,71,73,116,100,0,109,117,42,59,0,54,322,46,112,0.25,0.24,0.01,0.2,0.09,0.07,hk0823032773,0.013014399,0.009537208,0.012370426,0.01019965,0.6045112779999999,153.4192369,13000.0,170000.0,183000.0,0,0,0,0,0,0,0,0,1,0,0
1002,Sino Land,Yes,Hong Kong,Real Estate,28/06/2017,0.7,0.0,Reported: Company Filings (Reviewed),7.0,, NA ,0.0,480000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,203.31,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,hk0083000502,,,,,0.0,203.3074258,0.7,480000.0,480000.7,0,0,0,0,0,0,0,0,1,0,0
1003,SJM Holdings Limited,Yes,Hong Kong,Consumer Discretionary,31/12/2016,0.0,51000.0,Estimated: Gamma GLM,2.0,, NA ,0.0,340000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,2.0,,72.61,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,hk0880043028,,,,,0.0,72.6127401,51000.0,340000.0,391000.0,1,0,0,0,0,0,0,0,0,0,0
1004,China Taiping Insurance Holdings,Yes,Hong Kong,Financials,31/12/2016,0.0,11000.0,Estimated: Gamma GLM,5.0,, NA ,0.0,84000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,4.43,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,hk0000055878,0.024288831,0.022208165,0.026018627000000003,0.02968726,0.060902255999999995,4.429032448,11000.0,84000.0,95000.0,0,0,0,1,0,0,0,0,0,0,0
1005,Hongkong Land Holdings,Yes,Hong Kong,Real Estate,31/12/2016,0.0,16000.0,Estimated: Gamma GLM,5.0,, NA ,0.0,330000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,173.53,Location-based,132,31,74,76,69,75,88,77,76,57,59,71,69,84,56,82,80,82,70,100,65,0,243,110,62,11,0,0,29,41,25,0.3,0.2,0.22,0.21,0.28,0.11,bmg4587l1090,0.014970156,0.010808878999999999,0.009898499,0.011241741000000001,0.570676692,173.52926430000002,16000.0,330000.0,346000.0,0,0,0,0,0,0,0,0,1,0,0
1006,Hutchison Port Holdings Trust,Yes,Hong Kong,Industrials,31/12/2016,0.0,120000.0,Estimated: Gamma GLM,4.0,, NA ,0.0,150000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,176.58,Location-based,79,62,124,42,149,80,134,170,50,139,70,90,100,33,90,101,67,101,126,69,95,45,0,87,110,25,0,0,0,49,20,0.17,0.11,0.25,0.19,0.29,0.21,sg2d00968206,0.021185972999999997,0.015168103999999998,0.019597304,0.019594053,0.23609022600000001,176.5802296,120000.0,150000.0,270000.0,0,0,0,0,0,1,0,0,0,0,0
1007,Jardine Matheson,Yes,Hong Kong,Industrials,31/12/2016,0.0,460000.0,Estimated: Gamma GLM,4.0,, NA ,0.0,2200000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,71.79,Location-based,43,53,140,172,70,95,63,64,100,78,48,99,72,131,21,99,103,99,48,186,13,194,454,154,16,81,66,62,0,0,21,0.32,0.12,0.25,0.28,0.29,0.01,,,,,,0.0,71.79293406,460000.0,2200000.0,2660000.0,0,0,0,0,0,1,0,0,0,0,0
1008,Melco Crown Entertainment Ltd,Yes,Hong Kong,Consumer Discretionary,31/12/2016,0.0,53000.0,Estimated: Gamma GLM,2.0,, NA ,0.0,330000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,2.0,,84.75,Location-based,81,48,32,86,59,76,89,87,69,89,103,67,100,92,174,89,88,89,84,42,218,87,112,76,199,36,0,0,66,47,38,0.0,0.17,0.15,0.19,0.25,0.3,us5854641009,0.02916121,0.018920257,0.027260275,0.024231472,0.127318296,84.74576271,53000.0,330000.0,383000.0,1,0,0,0,0,0,0,0,0,0,0
1009,MOL Nyrt.,Yes,Hungary,Energy,31/12/2016,6071765.0,0.0,Reported: CDP (Reviewed),7.0,"1,490,567.00",  ,1328188.0,0.0,Reported: CDP (Reviewed),7.0,"Comprises the generation of the purchased electricity, heat, steam and cooling.The location based figure is presented following IEA 2011 CO2 emission factors for the EU and non-EU operations of MOL Group.The market-based figure is reported for the European operations of MOL Group. The figure is based on the European residual mixes released by AIB following the methodology developed by the RE-DISS project. The European Residual Mixes 2016 has not been published at the time of drafting the answers.",598.84,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,hu0000068952,0.015845408999999998,0.014159847,0.017615874,0.012220828000000001,0.537593985,598.8400656,6071765.0,1328188.0,7399953.0,0,0,1,0,0,0,0,0,0,0,0
1010,Magyar Telekom Nyrt.,Yes,Hungary,Telecommunication Services,31/12/2016,23448.0,0.0,Reported: DC (Reviewed),7.0, -   , -   ,86415.0,0.0,Reported: CDP,,In 2016 Magyar Telekom operated 100% carbon neutral.,10.95,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,hu0000073507,0.012170831000000002,0.009586691999999999,0.011361547,0.009440445,0.629072682,10.94688092,23448.0,86415.0,109863.0,0,0,0,0,0,0,0,0,0,1,0
1011,OTP Bank Nyrt.,Yes,Hungary,Financials,31/12/2016,0.0,3700.0,Estimated: Gamma GLM,5.0,, NA ,0.0,19000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,6.13,Location-based,126,45,222,146,73,97,49,103,113,118,114,109,113,92,118,132,91,132,87,147,109,0,47,101,144,80,0,53,42,105,73,0.06,0.04,0.19,0.09,0.16,0.04,hu0000061726,0.017389005,0.014123113999999999,0.017774936,0.011316363999999999,0.56716792,6.131754384,3700.0,19000.0,22700.0,0,0,0,1,0,0,0,0,0,0,0
1012,Richter Gedeon Nyrt.,Yes,Hungary,Health Care,31/12/2016,0.0,23000.0,Estimated: Gamma GLM,5.0,, NA ,0.0,29000.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,37.54,Location-based,83,79,119,79,100,105,172,100,83,159,99,118,127,61,128,114,85,114,109,83,70,0,18,99,54,23,225,0,31,67,36,0.04,0.08,0.21,0.15,0.25,0.16,hu0000123096,0.014931884,0.01317014,0.017399671999999998,0.015372183000000001,0.41328320799999996,37.54349992,23000.0,29000.0,52000.0,0,0,0,0,1,0,0,0,0,0,0
1013,Icelandair Group HF,Yes,Iceland,Industrials,31/12/2016,0.0,1300000.0,Estimated: Gamma GLM,5.0,, NA ,0.0,6400.0,Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5.0,,1265.4,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,is0000013464,0.018325658,0.025209949,0.038758616,0.037489497999999996,0.025814536000000003,1265.401007,1300000.0,6400.0,1306400.0,0,0,0,0,0,1,0,0,0,0,0
1014,Össur hf.,Yes,Iceland,Health Care,31/12/2016,41.0,0.0,Reported: CDP (Not Reviewed),,, NA ,51.0,0.0,Reported: CDP (Not Reviewed),,"This is the emission from electricity used, all being renewable energy (hydro and geothermal)",0.18,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,is0000000040,0.026936662000000004,,,,0.0,0.176668267,41.0,51.0,92.0,0,0,0,0,1,0,0,0,0,0,0
1015,AGI Glasspac,No,India,Industrials,31/03/2017,192765.0,0.0,Reported: CDP (Not Reviewed),,, NA ,108933.0,0.0,Reported: CDP (Not Reviewed),,,2577.66,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0.0,2577.6602780000003,192765.0,108933.0,301698.0,0,0,0,0,0,1,0,0,0,0,0
1016,JAPAN PALLET RENTAL CORPORATION (JPR),No,India,Industrials,31/03/2017,2046.0,0.0,Reported: CDP (Not Reviewed),,"1,838.00",  ,0.0,0.0,Reported: CDP (Not Reviewed),,,19.05,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0.0,19.04716899,2046.0,0.0,2046.0,0,0,0,0,0,1,0,0,0,0,0
1017,"HOKKAICAN CO., LTD",No,India,Materials,31/03/2017,16288.0,0.0,Reported: CDP (Not Reviewed),,"74,501.00",  ,0.0,0.0,,,,236.22,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0.0,236.2155065,16288.0,0.0,16288.0,0,0,0,0,0,0,0,1,0,0,0
1018,"KATSUSHIKA CO., LTD.",No,India,Materials,30/06/2016,0.0,0.0,Reported: CDP (Not Reviewed),,,  ,218417.44,0.0,Reported: CDP (Not Reviewed),,,12.15,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0.0,12.15320721,0.0,218417.44,218417.44,0,0,0,0,0,0,0,1,0,0,0
1019,MeiyuSavgyo Co. Ltd,No,India,Materials,28/02/2017,1150.0,0.0,Reported: CDP (Not Reviewed),,, NA ,510.0,0.0,Reported: CDP (Not Reviewed),,,159.26,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0.0,159.2561701,1150.0,510.0,1660.0,0,0,0,0,0,0,0,1,0,0,0
1020,AUTUMN HARP,No,India,Consumer Staples,31/12/2016,436.0,0.0,Reported: CDP (Not Reviewed),,, NA ,831.0,0.0,Reported: CDP (Not Reviewed),,,22.33,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0.0,22.33361768,436.0,831.0,1267.0,0,1,0,0,0,0,0,0,0,0,0
1021,SH ZIJIANG INT'L,No,India,Industrials,31/12/2016,17.78,0.0,Reported: CDP (Not Reviewed),,, NA ,73.59,0.0,Reported: CDP (Not Reviewed),,,0.85,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0.0,0.846944751,17.78,73.59,91.37,0,0,0,0,0,1,0,0,0,0,0
1022,Shahi Exports Pvt. Ltd.,Yes,India,Consumer Discretionary,31/03/2017,111636.0,0.0,Reported: CDP (Not Reviewed),,, NA ,138194.0,0.0,Reported: CDP (Not Reviewed),,,265.0,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0.0,265.00124159999996,111636.0,138194.0,249830.0,1,0,0,0,0,0,0,0,0,0,0
1023,Mahindra Sanyo Special Steel Pvt. Ltd,Yes,India,Materials,31/03/2017,40080.0,0.0,Reported: CDP (Not Reviewed),,"124,435.00",  ,124435.0,0.0,Reported: CDP (Not Reviewed),,"We are single location operation and we purchased electricity from the Integrated Northern, Eastern, Western, and North-Eastern regional grids (NEWNE) India grid hence our location based Scope II and market based Scope II emission will be same.",1180.7,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0.0,1180.70405,40080.0,124435.0,164515.0,0,0,0,0,0,0,0,1,0,0,0
1024,Godrej Interio Division-Godrej & Boyce Mfg.Co.Ltd.,Yes,India,Industrials,31/03/2017,4553.2,0.0,Reported: CDP (Not Reviewed),,, NA ,10372.4,0.0,Reported: CDP (Not Reviewed),,,51.22,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,0,,,,,0.0,51.22470111,4553.2,10372.4,14925.599999999999,0,0,0,0,0,1,0,0,0,0,0
1025,IDFC Bank Ltd,Yes,India,Financials,31/03/2017,190.0,0.0,Reported: CDP (Reviewed),7.0,, NA ,7399.0,0.0,Reported: CDP (Reviewed),7.0,Electricity Used at IDFC Bank facilities,5.3,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0.0,5.301135808,190.0,7399.0,7589.0,0,0,0,1,0,0,0,0,0,0,0
